location,experience,datetime
Location_0_tm0,0,"01.10.2022, 21:10:21"
Location_0_tm0,10,"01.10.2022, 21:10:27"
Location_1_tm1040,10,"01.10.2022, 21:10:29"
Location_1_tm1040,30,"01.10.2022, 21:10:32"
Location_1_tm1040,50,"01.10.2022, 21:10:33"
Location_3_tm33000,50,"01.10.2022, 21:10:35"
Location_7_tm33300,50,"01.10.2022, 21:10:37"
Location_10_tm55100,50,"01.10.2022, 21:10:39"
Location_10_tm55100,75,"01.10.2022, 21:10:42"
Location_10_tm55100,105,"01.10.2022, 21:10:47"
Location_10_tm55100,125,"01.10.2022, 21:10:51"
Location_10_tm55100,149,"01.10.2022, 21:10:53"
Location_12_tm0.0987654320,149,"01.10.2022, 21:10:54"
Location_12_tm0.0987654320,249,"01.10.2022, 21:10:56"
Location_12_tm0.0987654320,279,"01.10.2022, 21:10:57"
